algorithm,operation,hash_backend,keccak_rounds,fips_compliant,n_iterations,median_cycles,q1_cycles,q3_cycles,iqr_cycles,p95_cycles,p99_cycles,min_cycles,max_cycles,arith_mean_cycles,geo_mean_cycles,std_dev_cycles,cov_pct,cpb,wall_ns_mean,pk_bytes,sk_bytes,ct_or_sig_bytes,ss_bytes,nist_level,stack_hwm_bytes,peak_rss_delta_kb,peak_rss_after_kb,heap_delta_bytes,energy_proxy_units,energy_proxy_per_byte,est_energy_uj,est_energy_uj_per_byte,energy_calibrated,edp_cycle_ns
ML-DSA-65-XOODYAK,Sign,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,11414,8214,16829,8615,29855,44376,6276,80915,13791.48,12077.43,8100.25,58.7337,3.449380,586534.33,1952,4032,3309,0,3,0,0,4608,0,11414,3.4494,11.4140,0.003449,0,6694702834.63
ML-DSA-65-XOODYAK,Verify,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,5066,5062,5170,108,5607,6184,4914,12323,5154.85,5148.74,277.78,5.3886,1.530976,219095.97,1952,4032,3309,0,3,0,0,4636,0,5066,1.5310,5.0660,0.001531,0,1109940194.15
ML-DSA-87-XOODYAK,KeyGen,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,8841,8826,9050,224,9659,10407,8562,18698,8964.52,8955.71,427.27,4.7662,1.180689,381032.48,2592,4896,4627,0,5,0,0,4636,0,8841,1.1807,8.8410,0.001181,0,3368708142.42
ML-DSA-87-XOODYAK,Sign,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,15522,11675,21044,9369,35488,49021,10676,87002,18124.46,16641.42,8601.17,47.4562,3.354657,770555.03,2592,4896,4627,0,5,0,0,4636,0,15522,3.3547,15.5220,0.003355,0,11960555127.54
ML-DSA-87-XOODYAK,Verify,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,8794,8787,9013,226,9649,10360,8533,17449,8960.58,8953.08,391.22,4.3660,1.900584,380899.10,2592,4896,4627,0,5,0,0,4668,0,8794,1.9006,8.7940,0.001901,0,3349626709.14
ML-KEM-512-HARAKA,KeyGen,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,338,331,358,27,460,868,312,14728,372.94,359.80,254.90,68.3485,0.138980,16048.84,800,1632,768,32,1,0,0,4192,0,338,0.1390,0.3380,0.000139,0,5424507.24
ML-KEM-512-HARAKA,Encaps,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,397,396,403,7,421,599,383,2008,406.08,404.38,48.47,11.9370,0.496250,17275.78,800,1632,768,32,1,0,0,4192,0,397,0.4963,0.3970,0.000496,0,6858486.09
ML-KEM-512-HARAKA,Decaps,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,505,504,505,1,527,765,488,3574,513.76,511.86,60.72,11.8195,0.631250,21849.26,800,1632,768,32,1,0,0,4320,0,505,0.6312,0.5050,0.000631,0,11033876.55
ML-KEM-768-HARAKA,KeyGen,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,565,560,570,10,608,811,545,1758,574.64,572.93,51.86,9.0240,0.157645,24449.16,1184,2400,1088,32,3,0,0,4456,0,565,0.1576,0.5650,0.000158,0,13813773.42
ML-KEM-768-HARAKA,Encaps,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,613,610,618,8,741,897,607,2920,630.75,628.07,72.18,11.4443,0.547321,26826.03,1184,2400,1088,32,3,0,0,4456,0,613,0.5473,0.6130,0.000547,0,16444356.94
ML-KEM-768-HARAKA,Decaps,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,742,741,744,3,854,1075,739,3241,759.51,756.78,80.67,10.6211,0.662500,32315.24,1184,2400,1088,32,3,0,0,4584,0,742,0.6625,0.7420,0.000663,0,23977908.08
ML-KEM-1024-HARAKA,KeyGen,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,863,857,871,14,1006,1218,837,2481,880.80,878.17,79.52,9.0280,0.182221,37466.37,1568,3168,1568,32,5,0,0,4584,0,863,0.1822,0.8630,0.000182,0,32333476.45
ML-KEM-1024-HARAKA,Encaps,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,868,866,874,8,1008,1397,862,3403,891.78,887.95,100.82,11.3051,0.542500,37927.70,1568,3168,1568,32,5,0,0,4584,0,868,0.5425,0.8680,0.000543,0,32921243.86
ML-KEM-1024-HARAKA,Decaps,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,1034,1033,1035,2,1174,1434,1030,4154,1054.64,1051.69,97.62,9.2561,0.646250,44848.82,1568,3168,1568,32,5,0,0,4596,0,1034,0.6462,1.0340,0.000646,0,46373678.02
ML-DSA-44-HARAKA,KeyGen,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,707,704,711,7,820,991,697,2951,721.21,719.11,65.11,9.0281,0.182593,30660.04,1312,2560,2420,0,2,0,0,4596,0,707,0.1826,0.7070,0.000183,0,21676651.25
ML-DSA-44-HARAKA,Sign,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,3230,2344,5460,3116,10136,14625,1648,28903,4259.08,3532.15,2926.19,68.7048,1.334917,180969.67,1312,2560,2420,0,2,0,0,4596,0,3230,1.3349,3.2305,0.001335,0,584622511.18
ML-DSA-44-HARAKA,Verify,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,837,836,839,3,964,1195,832,3732,856.94,854.19,83.68,9.7645,0.345868,36430.17,1312,2560,2420,0,2,0,0,4604,0,837,0.3459,0.8370,0.000346,0,30492051.20
ML-DSA-65-HARAKA,KeyGen,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,1401,1394,1410,16,1604,1892,1366,5872,1426.53,1423.27,117.05,8.2050,0.234124,60668.36,1952,4032,3309,0,3,0,0,4604,0,1401,0.2341,1.4010,0.000234,0,84996372.64
ML-DSA-65-HARAKA,Sign,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,5521,3394,8917,5522,17190,25052,2392,52287,6991.59,5678.27,5019.14,71.7883,1.668480,297428.30,1952,4032,3309,0,3,0,0,4604,0,5521,1.6685,5.5210,0.001668,0,1642101638.78
ML-DSA-65-HARAKA,Verify,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,1276,1275,1278,3,1473,1758,1270,4884,1303.29,1299.65,120.07,9.2131,0.385615,55459.14,1952,4032,3309,0,3,0,0,4632,0,1276,0.3856,1.2760,0.000386,0,70765856.90
ML-DSA-87-HARAKA,KeyGen,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,1769,1765,1775,10,2048,2373,1753,4816,1807.80,1803.83,136.34,7.5420,0.236245,76854.85,2592,4896,4627,0,5,0,0,4632,0,1769,0.2362,1.7690,0.000236,0,135956236.20
ML-DSA-87-HARAKA,Sign,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,6680,4263,10266,6002,19515,28462,3515,47409,8322.21,7022.52,5502.56,66.1189,1.443700,353793.42,2592,4896,4627,0,5,0,0,4632,0,6680,1.4437,6.6800,0.001444,0,2363340019.55
ML-DSA-87-HARAKA,Verify,"Haraka-CTR (Haraka512, 5 rounds, non-standard, NON-FIPS)",5,0,10000,1972,1970,1975,5,2243,2555,1963,8755,2009.54,2005.61,155.75,7.7505,0.426194,85441.06,2592,4896,4627,0,5,0,0,4664,0,1972,0.4262,1.9720,0.000426,0,168489765.19
